from,to,relationship,weight
Platzeck,SPD,11,3
Pofalla,CDU,9,3
Pofalla,Verband,2,3
Praetorius,Wissenschaft,7,3
Tillich,CDU,9,3
"Hasselfeldt
",Politik,1,3
"Hasselfeldt
",Verband,2,2
"Kampeter
",Verband,2,2
"Kampeter
",CDU,9,2
Kapferer,Politik,1,2
Kapferer,Energieunternehmen,6,2
Kempf,Industrie,5,2
Nemat,Industrie,5,1
Reiche,Verband,2,1
Reiche,Energieunternehmen,6,1
Röstel,"Die Grünen
",12,2
Röstel,Energieunternehmen,6,2
Schweitzer,Industrie,5,2
Grothus,Umweltschutz,4,1
Wodtke,CDU,9,1
Wodtke,Umweltschutz,4,1
Herntier,Industrie,5,1
Herntier,Politik,1,1
Kreuzberg,CDU,9,1
Priggen,Umweltschutz,4,1
Priggen,"Die Grünen
",12,1
Vassiliadis,SPD,11,3
Vassiliadis,Industrie,5,3
Scheidt,Gewerkschaft,3,2
Scheidt,SPD,11,2
Körzell,Gewerkschaft,3,3
Körzell,SPD,11,3
Kaiser,Umweltschutz,4,1
Weiger,Umweltschutz,4,3
Niebert,Wissenschaft,7,1
Niebert,Umweltschutz,4,1
Allmendinger,Wissenschaft,7,1
Matthes,Wissenschaft,7,1
Schellnhuber,Umweltschutz,4,2
Schellnhuber,Wissenschaft,7,2
Niebuhr,Wissenschaft,7,1
Wehrspohn,Wissenschaft,7,2
Lämmel,Regionalvertreter,8,1
Lämmel,CDU,9,1
Lenz,CSU,10,1
Miersch,SPD,11,1
Miersch,Regionalvertreter,8,1
