id,name,type,party,age,sex
Platzeck,Platzeck,0,11,1,m
SPD,SPD,1,NA,NA,NA
CDU,CDU,1,NA,NA,NA
Pofalla,Pofalla,0,9,1,m
Verband,Verband ,1,NA,NA,NA
Praetorius,Praetorius,0,NA,NA,w
Wissenschaft,Wissenschaft,1,NA,NA,NA
Tillich,Tillich,0,9,1,m
Politik,Politik,1,NA,NA,NA
"Hasselfeldt
","Hasselfeldt
",0,10,1,w
"Kampeter
","Kampeter
",0,9,1,m
Kapferer,"Kapferer
",0,13,1,m
Energieunternehmen,Energieunternehmen,1,NA,NA,NA
Kempf,Kempf,0,NA,1,m
Industrie,Industrie,1,NA,NA,NA
Nemat,"Nemat
",0,NA,2,w
Reiche,Reiche,0,9,2,w
Die Grünen,Die Grünen,1,NA,NA,NA
Röstel,Röstel,0,12,1,w
Schweitzer,"Schweitzer
",0,13,1,"m
"
Umweltschutz,Umweltschutz,1,NA,NA,NA
Grothus,Grothus,0,NA,NA,w
Wodtke,Wodtke,0,9,NA,w
Herntier,Herntier,0,NA,1,w
Kreuzberg,Kreuzberg,0,9,1,m
Priggen,Priggen,0,12,1,m
Vassiliadis,Vassiliadis,0,11,1,m
Gewerkschaft,Gewerkschaft,1,NA,NA,NA
Scheidt,Scheidt,0,11,1,m
Körzell,Körzell,0,11,1,m
Kaiser,Kaiser,0,NA,2,m
Weiger,Weiger,0,NA,1,m
Wissenschaft,Wissenschaft,1,NA,NA,NA
Niebert,Niebert,0,NA,2,m
Allmendinger,Allmendinger,0,NA,1,w
Matthes,Matthes,0,NA,1,m
Schellnhuber,Schellnhuber,0,NA,1,m
Niebuhr,Niebuhr,0,NA,1,w
Wehrspohn,Wehrspohn,0,NA,2,m
Regionalvertreter,Regionalvertreter,1,NA,NA,NA
Lämmel,Lämmel,0,9,1,m
CSU,CSU,1,NA,NA,NA
Lenz,Lenz,0,10,3,m
Miersch,Miersch,0,11,2,m
