id,name,type,party,age,sex
Platzeck,Platzeck,0,11,5,m
11,SPD,1,NA,NA,NA
9,CDU,1,NA,NA,NA
Pofalla,Pofalla,0,9,5,m
2,Verband ,1,NA,NA,NA
Praetorius,Praetorius,0,NA,NA,w
7,Wissenschaft,1,NA,NA,NA
Tillich,Tillich,0,9,5,m
1,Politik,1,NA,NA,NA
"Hasselfeldt
","Hasselfeldt
",0,10,4,w
"Kampeter
","Kampeter
",0,9,3,m
Kapferer,"Kapferer
",0,13,3,m
6,Energieunternehmen,1,NA,NA,NA
Kempf,Kempf,0,NA,4,m
5,Industrie,1,NA,NA,NA
Nemat,"Nemat
",0,NA,2,w
Reiche,Reiche,0,9,2,w
12,Gruene,1,NA,NA,NA
Roestel,Roestel,0,12,3,w
Schweitzer,"Schweitzer
",0,13,3,"m
"
4,Umweltschutz,1,NA,NA,NA
Grothus,Grothus,0,NA,NA,w
Wodtke,Wodtke,0,9,NA,w
Herntier,Herntier,0,NA,4,w
Kreuzberg,Kreuzberg,0,9,3,m
Priggen,Priggen,0,12,3,m
Vassiliadis,Vassiliadis,0,11,3,m
Gewerkschaft,Gewerkschaft,1,NA,NA,NA
Scheidt,Scheidt,0,11,3,m
Koerzell,Koerzell,0,11,3,m
Kaiser,Kaiser,0,NA,3,m
Weiger,Weiger,0,NA,5,m
7,Wissenschaft,1,NA,NA,NA
Niebert,Niebert,0,NA,1,m
Allmendinger,Allmendinger,0,NA,4,w
Matthes,Matthes,0,NA,3,m
Schellnhuber,Schellnhuber,0,NA,4,m
Niebuhr,Niebuhr,0,NA,NA,w
Wehrspohn,Wehrspohn,0,NA,2,m
8,Regionalvertretung,1,NA,NA,NA
Laemmel,Laemmel,0,9,2,m
10,CSU,1,NA,NA,NA
Lenz,Lenz,0,10,3,m
Miersch,Miersch,0,11,2,m
